AISelect,RemoteWork,EdLevel,YearsCodePro,ConvertedCompYearly,JobSat
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.277141198158835,99627.71949443164,7.0
Yes,Remote,Primary/elementary school,6.415760459811332,,10.0
"No, but I plan to soon",In-person,Primary/elementary school,7.518001804032396,81476.18768714684,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.793464465858958,83693.13189089509,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,48374.44670379734,7.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.064339877422188,70656.06888176386,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.334265487215224,,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.612772442321237,113713.5887186619,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,64362.79043450021,9.0
Yes,Remote,Primary/elementary school,11.11461751782356,86327.4901321948,7.0
"No, and I don't plan to",Remote,Primary/elementary school,8.718252000813917,73607.08414256417,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.73355446293558,103807.7836422613,6.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,55421.57426166285,5.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.685602247633775,57302.25948122662,4.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,11.61425371463944,70076.8589752788,4.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.925568083878821,89348.4800990334,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.6877514001451432,71695.6082992511,7.0
"No, and I don't plan to",In-person,Primary/elementary school,4.453319619977151,66715.40802195927,4.0
"No, and I don't plan to",Remote,Primary/elementary school,6.726889509442648,76148.83547072478,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.5945181987487547,90031.79900325042,5.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.935268928357175,109477.63877579881,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.74132988003843,80792.29259451115,4.0
"No, but I plan to soon",In-person,Primary/elementary school,4.777722608208287,66915.09088233435,7.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.7946258926576828,61652.64369573893,6.0
"No, and I don't plan to",Remote,Primary/elementary school,8.937786421115751,,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.846665178845452,77325.02782146227,8.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.8311643752612325,84788.26788275794,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,72051.58293731706,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.643048758303538,,6.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.252786434955991,127092.24211951009,5.0
Yes,Remote,Primary/elementary school,8.344284671702676,82564.69436716796,8.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.828698134558554,101869.44466527252,4.0
"No, but I plan to soon","Hybrid (some remote, some in-person)",Primary/elementary school,6.892672625163761,116797.44814112531,6.0
Yes,Remote,Primary/elementary school,4.944645532628913,87698.00013046767,9.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.4107121294066394,67100.65599112451,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.7503128340198035,68309.14564365063,6.0
"No, but I plan to soon",Remote,Primary/elementary school,7.642309398462565,84002.41236827058,8.0
"No, and I don't plan to",Remote,Primary/elementary school,7.213229682395042,,5.0
"No, and I don't plan to",In-person,Primary/elementary school,13.893861360268412,122927.90191249235,4.0
Yes,Remote,Primary/elementary school,8.99634226186377,93337.42859374505,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.460796513971161,87668.04230037282,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.173757684666109,68644.64750891743,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.066691055133282,86465.9715892209,9.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.371967366469363,38148.70685084573,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.719324318151626,80745.33999363455,5.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.949655707619375,108975.45517562397,4.0
"No, but I plan to soon",In-person,Primary/elementary school,6.13419110891421,81801.14774260597,7.0
"No, and I don't plan to",Remote,Primary/elementary school,4.478854223739433,91169.574632574,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,,4.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.575346905681563,87311.59282629605,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.613201560981127,73753.60554233722,1.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.71046912633913,90668.87358941512,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,48744.07077336927,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.51935479896023,115302.69528829442,3.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.139132533527679,29419.99791869057,4.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.844818789202055,84328.09840150298,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,2.722852578324699,81608.19805991957,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,65571.5979974226,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.629385246894266,111558.09260835196,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.146389477590496,116494.28199664954,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.337887394586691,117656.18194587475,3.0
"No, and I don't plan to",Remote,Primary/elementary school,4.2824617207746005,79317.80318699425,5.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.491823323462967,,6.0
"No, and I don't plan to",Remote,Primary/elementary school,5.6015400398578015,71039.72450731411,4.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.2005611112816066,44782.59848823358,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.830979138224639,61875.57037670375,4.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.612407971737301,75928.48181207968,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.072628990595007,,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.056976656054848,68444.00286806481,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,55806.039790983545,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.414191452794707,72136.69153965959,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.976277753320986,82970.70935772367,10.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.481638775935465,127948.51275129306,6.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.71783120817603,103579.0147520716,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.8578172490692,114096.05155706988,9.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.753648258506882,74136.95541481035,9.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.95942029335023,99756.22462519252,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.403770019582828,82097.03310721889,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.505521622674532,116812.3590419963,7.0
"No, and I don't plan to",Remote,Primary/elementary school,4.989521544672961,42551.39275416652,5.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.805613049561494,76220.78942731867,4.0
Yes,Remote,Primary/elementary school,8.096109410688342,90540.9726478398,7.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.607510438455759,61812.40694364564,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.019247773876678,81212.12194869595,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.071482725806183,96594.99501346801,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.658459961241427,96492.68153761348,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,9.928938028530613,117436.73111430908,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.1464311255714055,59856.122700713284,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.618706469929254,100064.31379046445,6.0
"No, but I plan to soon",Remote,Primary/elementary school,5.106939812667805,95813.8522616406,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.400823200022884,132336.10218363293,7.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,49350.95558330009,7.0
Yes,Remote,Primary/elementary school,9.691772817980157,107097.41460556921,8.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,1.0,64633.18916056634,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.097373187127726,79976.55278976577,3.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.657567642115016,88550.39258995243,4.0
Yes,Remote,Primary/elementary school,13.030534235654736,114521.1150279836,9.0
Yes,In-person,Primary/elementary school,4.2313911516924385,103886.30383267398,4.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.232047662647112,91175.82198061135,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.2847334391008127,73878.94832680268,9.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.386678895019465,105855.71120409605,8.0
Yes,In-person,Primary/elementary school,5.102618232386108,72056.4122330433,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.293738076964475,108744.45674862454,8.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.654485347558384,123576.37368566665,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.129453896462415,107719.68005912617,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,11.350959372934991,84520.91865014739,8.0
Yes,In-person,Primary/elementary school,8.7740068823381,90529.17183257699,10.0
Yes,In-person,Primary/elementary school,2.3925264616529045,69177.84420177946,5.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.139912527879029,94236.44914118864,4.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.8856938979754982,70322.72084651588,7.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,49720.997986656905,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.045272407400185,94553.13964363607,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.688705894629212,95315.2022391483,10.0
Yes,Remote,Primary/elementary school,5.646024142830811,89752.64106764304,3.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.98440893370224,99387.74963091944,10.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,5.09604559045453,75443.71560681966,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.6381162572562764,106727.40745843033,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.101017517940061,92844.17765682173,9.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.469323792492415,81167.91420543291,9.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,8.377423077151825,101905.78814542231,8.0
Yes,In-person,Primary/elementary school,5.505351686943319,111188.11172746925,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.970914357624752,72719.98481687598,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.624387311918792,81239.42278906897,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.575114024631954,75478.42098627417,3.0
Yes,In-person,Primary/elementary school,7.3339245020794035,70851.09837793205,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.920099646369913,58478.226013574546,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.564936255619413,90177.399303882,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.673908692722605,,6.0
"No, and I don't plan to",Remote,Primary/elementary school,6.270327457841844,91002.14922897692,9.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.124303867500055,71098.71019827918,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.293316787007945,79041.18015274526,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,11.018371636505961,82743.31830220038,9.0
"No, and I don't plan to",In-person,Primary/elementary school,7.387312709638069,94834.61261847788,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.984612988700491,,6.0
Yes,Remote,Primary/elementary school,8.37753686951414,116580.1935413336,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.702525604725142,118520.2084186966,7.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,80831.62890234859,6.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.363810760886505,123626.56521130315,10.0
"No, and I don't plan to",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.921975190463251,,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.737711132925229,82076.83349015504,3.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.033001444426212,105026.37521409351,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.120281189564256,63362.647273344475,5.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.479125787209572,89229.97099763398,6.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.279717068562559,110808.86677183279,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,11.840974002027504,101307.2909476242,6.0
"No, and I don't plan to",In-person,Primary/elementary school,5.923933814340709,109907.41440892662,4.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.636731605056781,57739.625705494065,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.620162455127158,,8.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.542646387003842,104661.09433330329,7.0
Yes,In-person,Primary/elementary school,4.805003466340725,67655.96988945633,6.0
Yes,Remote,Primary/elementary school,1.0,57194.008139135716,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.5599080900065765,74282.74915262402,10.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.709438086745688,88488.32389287098,8.0
Yes,Remote,Primary/elementary school,3.899863242305104,83029.60159560984,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.956248651935217,86302.39677949085,6.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.3700602481346245,91063.8366299063,7.0
Yes,Remote,Primary/elementary school,1.0,84241.45699304594,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.298075291840289,94769.94791722434,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.69252808275885,98771.95461188463,8.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,62767.134441967086,5.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.008669401902303,98557.27664930905,7.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.255723074402347,69578.49947957056,3.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,9.433768277896768,115902.85438928999,4.0
Yes,In-person,Primary/elementary school,9.857275743494613,120233.14990373146,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.312208260354896,118868.83500096905,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,6.321327364875112,55739.49885811192,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.7745492114547945,69661.06405719527,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.617666399580136,55802.8448842472,2.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.792371625334933,117398.60473395903,10.0
Yes,Remote,Primary/elementary school,3.5397142913154886,71314.60871804212,9.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.271184524785888,123392.1368425133,10.0
Yes,Remote,Primary/elementary school,3.5619998407992925,56341.65295653633,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.100761561350913,92904.21840779755,9.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.448771361385461,51995.03146214101,5.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,9.09358006760806,95321.7388848217,9.0
"No, but I plan to soon",In-person,Primary/elementary school,5.697650571387513,81519.30354334235,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.749935357297319,76306.43966853562,8.0
Yes,In-person,Primary/elementary school,9.440092679137802,119849.13804807913,8.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,5.123434539683608,74389.46830120278,4.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.2874060182196096,74295.33628051172,2.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.04522225363781,119489.87464289961,8.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.416397640070687,84875.38789651838,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.06606913759164,109115.15578351269,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.891986181332001,125742.59451041052,7.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.49802445459113,84149.44885802604,10.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.729411376367135,86800.47666045092,7.0
Yes,In-person,Primary/elementary school,8.927134831445136,110883.53846404301,7.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.216554319420897,,8.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.605716009064299,131953.0595471908,7.0
"No, but I plan to soon",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.4333127130424383,69063.19605237438,6.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.493198280385738,80875.93377699616,5.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.174740785522684,97687.35315149653,7.0
"No, but I plan to soon",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.420894804073022,74432.63685091758,5.0
"No, and I don't plan to",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.461733189524537,109319.99318869173,4.0
"No, and I don't plan to",In-person,Primary/elementary school,11.211166227610853,73281.7971984157,10.0
Yes,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.894993278297225,116963.45558698307,6.0
Yes,In-person,Primary/elementary school,5.878923582145733,96389.38020527872,8.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,1.0,56031.585455659886,5.0
"No, but I plan to soon",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.743416582179134,72551.97030163513,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.066621957165744,111903.07651251543,4.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,78455.72528487092,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.8620374270315616,104333.05706991247,10.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.578425128200358,100808.84461119554,5.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.838853196789468,85359.42586813949,10.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.712180284022768,100369.99598738608,7.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.171313405082707,102024.89363061475,10.0
Yes,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.878330149443546,,10.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.18170914625954,92790.18509184626,7.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.653790916606045,99194.1604016691,5.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.10301387176664,97085.80799019465,8.0
Yes,In-person,Primary/elementary school,9.345331902312548,102144.18398742801,8.0
"No, and I don't plan to",Remote,Primary/elementary school,5.415495608043085,64433.25627415172,7.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.18757652807715,,7.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,10.578894058588551,107184.11496066616,6.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.606493504237456,87278.73981332763,10.0
Yes,Remote,Primary/elementary school,13.753768622984527,134751.90142255646,8.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,13.493052741944805,107020.0947863177,5.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.669260645435102,108996.1962348665,9.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,1.0,73477.91329318966,8.0
"No, but I plan to soon",Remote,Primary/elementary school,14.310723931798785,108539.0513633437,6.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,10.67187068266545,75485.43630085912,10.0
"No, and I don't plan to",Remote,Primary/elementary school,3.9365596396547895,63751.466556803236,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.915636622251128,122577.28407961447,7.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.8509370361490864,83959.96242489661,8.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.474520480438967,73291.46595693157,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.7349198357036029,74881.19306563985,4.0
Yes,"Hybrid (some remote, some in-person)",Primary/elementary school,3.7671263648534543,72763.49596060332,8.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.839716516802106,99821.02391799811,7.0
Yes,Remote,Primary/elementary school,11.291546971971574,105690.64890501174,9.0
"No, but I plan to soon","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.30174743773524,85688.17167765446,6.0
"No, and I don't plan to","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.855325453248117,90514.13593073134,6.0
"No, but I plan to soon",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,62468.76804043667,4.0
Yes,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.163915601394561,90681.7282000233,7.0
"No, and I don't plan to",Remote,Primary/elementary school,9.133940307298111,101478.4595711166,8.0
"No, but I plan to soon",In-person,Primary/elementary school,5.732939576257412,63025.36766339522,5.0
Yes,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.909688235622327,94025.64717265891,7.0
Yes,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.257530128328317,,6.0
"No, and I don't plan to",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.713175128714266,82935.70612735853,4.0
"No, and I don't plan to","Hybrid (some remote, some in-person)",Primary/elementary school,7.3035095598392505,73567.72379776368,6.0
"No, and I don't plan to",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.909221671390158,52987.92435086153,7.0
Yes,In-person,Primary/elementary school,12.773158214527768,120368.92661276936,10.0
"No, and I don't plan to",Remote,Primary/elementary school,1.0,34819.87197145516,5.0
Yes,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.8166296561156905,84670.68332603743,7.0
